Results for 116th Congress
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Schatz,Brian,,,,10/20/1972,,M,U.S. Senator,Democrat,HI,,12/27/2012,01/03/2023,Jewish,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,
Schumer,Charles,Ellis,,,11/23/1950,,M,U.S. Senator,Democrat,NY,,01/03/1999,01/03/2023,Jewish,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Scott,Tim,,,,09/19/1965,,M,U.S. Senator,Republican,SC,,01/03/2013,01/03/2023,Christian,African American,Bachelor's degree,Business or banking,,,,,Did not serve,,
Shaheen,Jeanne,,,,01/28/1947,,F,U.S. Senator,Democrat,NH,,01/06/2009,01/03/2021,Protestant,White,Master's degree,Education,,,,,Did not serve,,
Shelby,Richard,C.,,,05/06/1934,,M,U.S. Senator,Republican,AL,,01/03/1995,01/03/2023,Presbyterian,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Smith,Tina,,,,03/04/1958,,F,U.S. Senator,Democrat Farmer-Labor,MN,,01/03/2018,01/03/2021,Not specified,White,Master's degree,Business or banking,Public service/politics,,,,,,
Strange,Luther,,,,03/01/1953,,M,U.S. Senator,Republican,AL,,02/09/2017,01/03/2021,Episcopalian,White,Professional degree,Law,,,,,,,
Sullivan,Dan,,,,11/13/1964,,M,U.S. Senator,Republican,AK,,01/03/2015,01/03/2021,Roman Catholic,White,Professional degree,Public service/politics,,,,,Marine Corps,Marine Corps Reserve,
Thune,John,,,,01/07/1961,,M,U.S. Senator,Republican,SD,,01/03/2005,01/03/2023,Protestant,White,Master's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,
Tillis,Thom,,,,08/30/1960,,M,U.S. Senator,Republican,NC,,01/03/2015,01/03/2021,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Toomey,Patrick,Joseph,,Pat,11/17/1961,,M,U.S. Senator,Republican,PA,,01/03/2011,01/03/2023,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Udall,Thomas,,,Tom,05/18/1948,,M,U.S. Senator,Democrat,NM,,01/06/2009,01/03/2021,Mormon,White,Professional degree,,,,,,Did not serve,,
Van Hollen,Christopher,,Jr.,Chris,01/10/1959,,M,U.S. Senator,Democrat,MD,,01/03/2017,01/03/2023,Not specified,White,Professional degree,Public service/politics,,,,,Did not serve,,
Warner,Mark,R.,,,12/15/1954,,M,U.S. Senator,Democrat,VA,,01/06/2009,01/03/2021,Presbyterian,White,Professional degree,Computers/technology,,,,,Did not serve,,
Wyden,Ronald,Lee,,,05/03/1949,,M,U.S. Senator,Democrat,OR,,02/06/1996,01/03/2023,Jewish,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,
Young,Todd,,,,08/24/1972,,M,U.S. Senator,Republican,IN,,01/03/2017,01/03/2023,Christian,White,Master's degree,Law,,,,,U.S. Marine Corps,,
,
,
"Export list of members by biographical characteristics. Washington: CQ Press. Dynamically generated November 10, 2018, from CQ Press Electronic Library, CQ Press Congress Collection: http://library.cqpress.com/congress/export.php?which=memberbioadv&congress=235&yearlimit=0"
